calories,carbohydrates,fiber,net_carbs,fats,protein,vit-a_rae,vit-a,vit-b1,vit-b2,vit-b3,vit-b3,vit-b6,vit-b9,vit-c,vit-e,vit-k,choline,betaine,calcium,copper,fluoride,iron,magnesium,manganese,phosphorus,potassium,selenium,sodium,zinc
kCal,g,g,g,g,g,µg,IU,mg,mg,mg,mg,mg,µg,mg,mg,µg,mg,mg,mg,mg,µg,mg,mg,mg,mg,mg,µg,mg,mg
